config_file,chunk_size,estimator,pop_min,exp_l,pop_max,exp_r,pop_range,exp_range,nlearn_l,nlearn_r,ch_min,ch_max,poperr_min,poperr_max,poperr_range
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.093811418,0.093811418,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.107096153,0.107096153,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.082219332,0.082219332,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.081540538,0.081540538,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.08859643,0.08859643,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.041385193,0.041385193,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.057896928,0.057896928,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.042344231,0.042344231,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.076027095,0.076027095,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.108963227,0.108963227,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.06764509,0.06764509,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.074049733,0.074049733,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.063616909,0.063616909,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.104150426,0.104150426,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.080505081,0.080505081,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.088495026,0.088495026,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.075971233,0.075971233,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.052099865,0.052099865,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.049860459,0.049860459,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.060190225,0.060190225,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.053108065,0.053108065,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.056119718,0.056119718,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.04657282,0.04657282,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.068885177,0.068885177,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.123481663,0.123481663,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,1,0.065103565,0.065103565,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.069553217,0.069553217,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.071480721,0.071480721,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.080518769,0.080518769,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.053364338,0.053364338,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.112505459,0.112505459,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.09142503,0.09142503,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.098499414,0.098499414,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.084067986,0.084067986,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.111544601,0.111544601,13.19857456,0.091547045,-13.10702751
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,15.10328063,15.16254565,28.26957316,0,0,0.059623258,0.059623258,13.19857456,0.091547045,-13.10702751
