,filename,method,Ch_size,ExpL,ExpU,ExpRange,ErL,ErU,ErRange
38,waldm3sd05n10000_ch,whole,500,0.026072741127018073,104.37801076843738,104.35193802731035,0.005550610253975297,94.65807146592365,94.62644811454265
39,waldm3sd05n10000_ch,online,50,0.03162335138099337,104.37198341496887,104.34036006358787,0.0,94.66409881939217,94.63247546801117
40,waldm3sd05n10000_ch,online,100,0.03162335138099337,104.37198341496887,104.34036006358787,0.0,94.66409881939217,94.63247546801117
41,waldm3sd05n10000_ch,online,500,0.03162335138099337,104.37198341496887,104.34036006358787,0.0,94.66409881939217,94.63247546801117
42,waldm3sd05n10000_ch,onlinemm,50,0.03271525793513574,104.37198341496887,104.33926815703373,-0.0010919065541423675,94.66409881939217,94.63247546801117
43,waldm3sd05n10000_ch,onlinemm,100,0.033066249639957884,104.37198341496887,104.33891716532891,-0.0014428982589645145,94.66409881939217,94.63247546801117
44,waldm3sd05n10000_ch,onlinemm,500,0.03241856734116366,104.37198341496887,104.3395648476277,-0.0007952159601702924,94.66409881939217,94.63247546801117
45,waldm3sd05n50000_ch,whole,50,0.02767008881914723,217.90877524756445,217.8811051587453,-0.003200434226845239,-0.0023234645129832643,-0.026793119105292362
46,waldm3sd05n50000_ch,whole,100,0.029317665394772874,217.91287930215134,217.88356163675655,-0.004848010802470881,-0.006427519099872825,-0.030897173692181923
47,waldm3sd05n50000_ch,whole,500,0.024988103041186704,217.91473962411635,217.88975152107517,-0.0005184484488847119,-0.00828784106488456,-0.03275749565719366
48,waldm3sd05n50000_ch,online,50,0.030544368294478375,217.90645178305147,217.875907414757,-0.006074713702176382,0.0,-0.024469654592309098
49,waldm3sd05n50000_ch,online,100,0.030544368294478375,217.90645178305147,217.875907414757,-0.006074713702176382,0.0,-0.024469654592309098
50,waldm3sd05n50000_ch,online,500,0.030544368294478375,217.90645178305147,217.875907414757,-0.006074713702176382,0.0,-0.024469654592309098
51,waldm3sd05n50000_ch,onlinemm,50,0.020758031520259457,217.90645178305147,217.8856937515312,0.003711623072042536,0.0,-0.024469654592309098
52,waldm3sd05n50000_ch,onlinemm,100,0.03004318410791517,217.90645178305147,217.87640859894356,-0.005573529515613178,0.0,-0.024469654592309098
53,waldm3sd05n50000_ch,onlinemm,500,0.030034559366807267,217.90645178305147,217.87641722368465,-0.005564904774505275,0.0,-0.024469654592309098
54,waldm3sd2n50000_ch,whole,50,0.08670291836145383,55.50767746098838,55.42097454262693,0.004392277605596018,19.437756613654436,19.346661417687393
55,waldm3sd2n50000_ch,whole,100,0.08642675406976785,55.50934365048647,55.4229168964167,0.004668441897281994,19.436090424156347,19.344995228189305
56,waldm3sd2n50000_ch,whole,500,0.08729923840752729,55.50598485507167,55.41868561666414,0.003795957559522556,19.439449219571152,19.34835402360411
57,waldm3sd2n50000_ch,online,50,0.09109519596704985,55.50578021264479,55.41468501667774,0.0,19.439653861998032,19.34855866603099
58,waldm3sd2n50000_ch,online,100,0.09109519596704985,55.50578021264479,55.41468501667774,0.0,19.439653861998032,19.34855866603099
59,waldm3sd2n50000_ch,online,500,0.09109519596704985,55.50578021264479,55.41468501667774,0.0,19.439653861998032,19.34855866603099
60,waldm3sd2n50000_ch,onlinemm,50,0.12224035025094893,55.50578021264479,55.38353986239384,-0.03114515428389908,19.439653861998032,19.34855866603099
61,waldm3sd2n50000_ch,onlinemm,100,0.1193685732666582,55.50578021264479,55.38641163937813,-0.028273377299608354,19.439653861998032,19.34855866603099
62,waldm3sd2n50000_ch,onlinemm,500,0.10714775055859677,55.50578021264479,55.39863246208619,-0.01605255459154692,19.439653861998032,19.34855866603099
63,waldm3sd2n10000_ch,whole,50,0.12257666933599731,38.22800331975636,38.10542665042036,-0.015242934989638801,8.174553642809066,8.067219908462711
64,waldm3sd2n10000_ch,whole,100,0.1263926707497709,38.222464472809335,38.09607180205956,-0.019058936403412385,8.180092489756092,8.072758755409737
65,waldm3sd2n10000_ch,whole,500,0.11907234596383809,38.216918575962964,38.09784622999913,-0.011738611617479577,8.185638386602463,8.078304652256108
66,waldm3sd2n10000_ch,online,50,0.13253733464087425,38.2166353079134,38.08409797327253,-0.025203600294515738,8.185921654652027,8.078587920305672
67,waldm3sd2n10000_ch,online,100,0.13253733464087425,38.2166353079134,38.08409797327253,-0.025203600294515738,8.185921654652027,8.078587920305672
68,waldm3sd2n10000_ch,online,500,0.13253733464087425,38.2166353079134,38.08409797327253,-0.025203600294515738,8.185921654652027,8.078587920305672
69,waldm3sd2n10000_ch,onlinemm,50,0.1783615674684169,38.2166353079134,38.038273740444986,-0.07102783312205838,8.185921654652027,8.078587920305672
70,waldm3sd2n10000_ch,onlinemm,100,0.16828579340171618,38.2166353079134,38.048349514511685,-0.060952059055357666,8.185921654652027,8.078587920305672
71,waldm3sd2n10000_ch,onlinemm,500,0.1582649827138133,38.2166353079134,38.05837032519959,-0.0509312483674548,8.185921654652027,8.078587920305672
